CHR,start,end,gene_id,genename,n_snp_input,n_snp_model,model_type,in_sample_r2,in_sample_cor_pvalue
chr10,47523637,47523638,ENSG00000204172.12,AGAP9,146,17,NonSpecific,0.5354127622517812,3.2616160529139666e-22
chr10,48684875,48684876,ENSG00000128815.19,WDFY4,165,4,NonSpecific,0.08271481333823434,0.0011452417206120325
chr10,49115508,49115509,ENSG00000165633.12,VSTM4,215,17,NonSpecific,0.03673292161000256,0.03226039033966522
chr10,49539537,49539538,ENSG00000225830.12,ERCC6,198,26,NonSpecific,0.20425021021313147,1.2194145441385757e-7
chr10,49941997,49941998,ENSG00000227345.8,PARG,185,8,NonSpecific,0.21104213720760107,7.088920261315054e-8
chr10,49942032,49942033,ENSG00000204152.10,TIMM23B,185,26,CellTypeSpecific,0.21580168032834587,4.8354924274576563e-8
chr10,49982189,49982190,ENSG00000204149.10,AGAP6,186,25,CellTypeSpecific,0.14927713127677408,8.57271583763069e-6
chr10,50067887,50067888,ENSG00000099290.15,WASHC2A,175,9,CellTypeSpecific,0.36750052996842614,6.805909486245276e-14
chr10,50248609,50248610,ENSG00000188611.14,ASAH2,158,32,CellTypeSpecific,0.6868370430783187,8.43308410866108e-33
chr10,50739317,50739318,ENSG00000204147.9,ASAH2B,107,24,NonSpecific,0.1255228190317999,5.043474817021733e-5
chr10,52314295,52314296,ENSG00000107984.9,DKK1,26,3,NonSpecific,0.05818312879651988,0.006730929087031362
chr10,58269057,58269058,ENSG00000122873.11,CISD1,87,15,NonSpecific,0.024732905643346625,0.0798511011994306
chr10,58334974,58334975,ENSG00000072401.14,UBE2D1,87,4,CellTypeSpecific,0.08506645159839558,9.662531262025918e-4
chr10,58385021,58385022,ENSG00000108064.10,TFAM,87,20,NonSpecific,0.04284129985056067,0.020557535741394177
chr10,61001439,61001440,ENSG00000072422.16,RHOBTB1,50,8,NonSpecific,0.06190373978646612,0.005143395168472858
chr10,61662960,61662961,ENSG00000183346.6,C10orf107,63,27,NonSpecific,0.2533254932097824,2.1985471688038075e-9
chr10,62804856,62804857,ENSG00000181915.4,ADO,25,3,NonSpecific,0.05238470295774551,0.010246726888187771
chr10,65570337,65570338,ENSG00000228065.10,LINC01515,19,3,NonSpecific,0.04739167649910908,0.014736495113974584
chr10,68232102,68232103,ENSG00000179774.8,ATOH7,137,5,NonSpecific,0.10506105381741807,2.2641462248911362e-4
chr10,68242378,68242379,ENSG00000233590.1,RP11-153K11.3,138,6,NonSpecific,0.15227239403722134,6.838802006521413e-6
chr10,68333048,68333049,ENSG00000108187.15,PBLD,144,15,NonSpecific,0.07666939376594394,0.0017719760711776618
chr10,68407293,68407294,ENSG00000204130.12,RUFY2,148,33,CellTypeSpecific,0.12945635632958782,3.769571899932142e-5
chr10,68472120,68472121,ENSG00000138346.14,DNA2,152,16,NonSpecific,0.2803365251484515,2.1737932576779747e-10
chr10,68827540,68827541,ENSG00000165730.14,STOX1,173,36,CellTypeSpecific,0.11980777430771512,7.687472145232225e-5
chr10,69220302,69220303,ENSG00000156510.12,HKDC1,180,6,NonSpecific,0.2301603341360385,1.5057954410463795e-8
chr10,69451472,69451473,ENSG00000099282.9,TSPAN15,167,3,CellTypeSpecific,0.0470101741397163,0.015152498656890266
chr10,70170522,70170523,ENSG00000079332.14,SAR1A,138,19,CellTypeSpecific,9.993978464079034e-4,0.726351011049586
chr10,70382649,70382650,ENSG00000172731.13,LRRC20,136,7,CellTypeSpecific,0.23885818297099176,7.357274372258866e-9
chr10,70447950,70447951,ENSG00000156574.9,NODAL,133,28,CellTypeSpecific,0.48680248234062623,1.55359637409963e-19
chr10,72089031,72089032,ENSG00000107742.12,SPOCK2,147,0,NonSpecific,NA,NA
chr10,72217133,72217134,ENSG00000138303.17,ASCC1,200,22,NonSpecific,0.18359074209207454,6.197675319258104e-7
chr10,72355229,72355230,ENSG00000148719.14,DNAJB12,287,7,CellTypeSpecific,0.14751300195412076,9.790353782306322e-6
chr10,72626190,72626191,ENSG00000107745.17,MICU1,288,0,NonSpecific,NA,NA
chr10,73101296,73101297,ENSG00000272630.1,RP11-344N10.5,316,3,NonSpecific,0.13813643832102618,1.9765937653946062e-5
chr10,73110374,73110375,ENSG00000166321.13,NUDT13,315,124,NonSpecific,0.15291295794612475,6.515658544925701e-6
chr10,73168165,73168166,ENSG00000138286.14,FAM149B1,317,7,CellTypeSpecific,0.11839845578320878,8.527287572492692e-5
chr10,73358858,73358859,ENSG00000156042.17,CFAP70,311,2,CellTypeSpecific,0.05330208450720858,0.009586585996531193
chr10,73496023,73496024,ENSG00000107758.15,PPP3CB,307,2,NonSpecific,0.05362963612667167,0.009361433312782944
chr10,73698158,73698159,ENSG00000172650.13,AGAP5,302,1,NonSpecific,0.033473040493163526,0.041128108059225676
chr10,73772862,73772863,ENSG00000196968.10,FUT11,311,1,NonSpecific,0.03929206668446483,0.026693909379587683
chr10,73811797,73811798,ENSG00000166507.17,NDST2,311,17,NonSpecific,0.0792416487330058,0.0014717274201941687
chr10,3785280,3785281,ENSG00000067082.14,KLF6,140,0,NonSpecific,NA,NA
chr10,4243911,4243912,ENSG00000233117.2,LINC00702,231,33,NonSpecific,0.14603487229597106,1.0941055522495192e-5
chr10,4786628,4786629,ENSG00000165568.17,AKR1E2,295,0,NonSpecific,NA,NA
chr10,4963252,4963253,ENSG00000187134.13,AKR1C1,309,8,NonSpecific,0.08132498501865267,0.0012661832341462392
chr10,5018030,5018031,ENSG00000151632.17,AKR1C2,332,12,NonSpecific,0.11955590986142553,7.83129838624466e-5
chr10,5035353,5035354,ENSG00000196139.13,AKR1C3,336,23,CellTypeSpecific,0.19262766147547217,3.056795820749855e-7
chr10,5271235,5271236,ENSG00000224034.1,RP11-445P17.8,355,0,NonSpecific,NA,NA
chr10,75210153,75210154,ENSG00000165637.13,VDAC2,106,7,CellTypeSpecific,0.07453943548054691,0.0020663543304710553
chr10,75269818,75269819,ENSG00000226051.6,ZNF503-AS1,99,15,CellTypeSpecific,0.42990561573818564,1.0608429129839044e-16
chr10,75409326,75409327,ENSG00000272692.1,RP11-399K21.14,100,9,NonSpecific,0.2266079831536556,2.0132448069879184e-8
chr10,75431452,75431453,ENSG00000148655.14,C10orf11,100,7,CellTypeSpecific,0.14651559810078654,1.0552863600860076e-5
chr10,77638368,77638369,ENSG00000156113.22,KCNMA1,112,30,CellTypeSpecific,0.2515416323592529,2.5545634967361837e-9
chr10,77926525,77926526,ENSG00000151208.16,DLG5,112,23,CellTypeSpecific,0.13579965078208417,2.3528186376496466e-5
chr10,78033759,78033760,ENSG00000138326.18,RPS24,114,37,CellTypeSpecific,0.17881779775481874,8.978618668630675e-7
chr10,79445626,79445627,ENSG00000165424.6,ZCCHC24,159,0,NonSpecific,NA,NA
chr10,79660890,79660891,ENSG00000244733.5,RP11-506M13.3,169,19,NonSpecific,0.37183879781310797,4.4321491443079836e-14
chr10,79703226,79703227,ENSG00000188199.10,NUTM2B,173,13,NonSpecific,0.3880820060893401,8.668783482948016e-15
chr10,79825901,79825902,ENSG00000272447.1,RP11-182L21.6,187,0,NonSpecific,NA,NA
chr10,79841357,79841358,ENSG00000228570.7,NUTM2E,189,17,NonSpecific,0.7240358980998499,3.446233193824585e-36
chr10,79982613,79982614,ENSG00000133661.15,SFTPD,188,5,CellTypeSpecific,0.14724927698704143,9.986504851132022e-6
chr10,80131681,80131682,ENSG00000189129.13,PLAC9,175,17,CellTypeSpecific,0.013055525233144788,0.2045123161627859
chr10,80344744,80344745,ENSG00000133665.12,DYDC2,156,1,NonSpecific,0.13583356083419829,2.3468826905843555e-5
chr10,84141461,84141462,ENSG00000165678.20,GHITM,34,6,CellTypeSpecific,0.009559115505013387,0.2780414878054917
chr10,84328585,84328586,ENSG00000107771.15,CCSER2,36,5,CellTypeSpecific,0.053279044869535865,0.009602627354795862
chr10,86366492,86366493,ENSG00000182771.18,GRID1,230,13,CellTypeSpecific,0.14273348496276847,1.4016141875077547e-5
chr10,86654556,86654557,ENSG00000122375.11,OPN4,256,11,NonSpecific,0.20375814295121417,1.2680904676138295e-7
chr10,86668448,86668449,ENSG00000122367.19,LDB3,260,29,NonSpecific,0.30612288370423935,2.2104601876041942e-11
chr10,86756600,86756601,ENSG00000107779.13,BMPR1A,276,6,NonSpecific,0.12253976413358852,6.285950701930737e-5
chr10,86983853,86983854,ENSG00000148671.13,ADIRF,282,32,NonSpecific,0.29861710656874035,4.334869792890142e-11
chr10,87020305,87020306,ENSG00000188100.8,FAM25A,281,0,NonSpecific,NA,NA
chr10,87094865,87094866,ENSG00000148672.8,GLUD1,284,6,CellTypeSpecific,0.12082184509383667,7.134393003620442e-5
chr10,87094160,87094161,ENSG00000122376.11,FAM35A,284,2,NonSpecific,0.06561113831105918,0.003935304709618297
chr10,87225447,87225448,ENSG00000184923.12,NUTM2A,301,5,NonSpecific,0.30795397035731237,1.8735853242901446e-11
chr10,87342735,87342736,ENSG00000224914.3,LINC00863,301,0,NonSpecific,NA,NA
chr10,87357882,87357883,ENSG00000214562.14,NUTM2D,294,24,CellTypeSpecific,0.5416579572789925,1.4109639146549539e-22
chr10,87659612,87659613,ENSG00000198682.12,PAPSS2,256,26,NonSpecific,0.32277823308590464,4.837182907490015e-12
chr10,87841342,87841343,ENSG00000138138.13,ATAD1,241,52,CellTypeSpecific,0.19342860407149784,2.8702554716418367e-7
chr10,88664440,88664441,ENSG00000182333.14,LIPF,195,0,NonSpecific,NA,NA
chr10,88990581,88990582,ENSG00000026103.21,FAS,192,33,CellTypeSpecific,0.30749505214146766,1.952934182196308e-11
chr10,89414556,89414557,ENSG00000107798.17,LIPA,153,1,CellTypeSpecific,0.02197036168939946,0.0990100207929484
chr10,89414585,89414586,ENSG00000152778.8,IFIT5,153,7,NonSpecific,0.24452158435495117,4.59677587796392e-9
chr10,89699670,89699671,ENSG00000235100.3,RP11-80H5.9,142,9,NonSpecific,0.13447664716820174,2.5963752365907173e-5
chr10,89829509,89829510,ENSG00000232229.5,LINC00865,121,9,NonSpecific,0.2193028303268479,3.6446817235131793e-08
chr10,91633053,91633054,ENSG00000119938.8,PPP1R3C,90,39,NonSpecific,0.11047588141476213,1.524583179496201e-4
chr10,91798311,91798312,ENSG00000107854.5,TNKS2,101,9,CellTypeSpecific,0.18388770801904417,6.056016050415197e-7
chr10,91909482,91909483,ENSG00000174721.9,FGFBP3,100,4,NonSpecific,0.10061354203415813,3.1302884392425234e-4
chr10,91923768,91923769,ENSG00000095564.13,BTAF1,100,12,CellTypeSpecific,0.219707893906365,3.527143377799427e-8
chr10,93482316,93482317,ENSG00000138119.16,MYOF,258,10,CellTypeSpecific,0.34473254686598714,6.176371963516526e-13
chr10,93566664,93566665,ENSG00000186188.10,FFAR4,262,25,NonSpecific,0.21487401876756776,5.2106465858278523e-8
chr10,93601743,93601744,ENSG00000138207.13,RBP4,261,13,CellTypeSpecific,0.1244169483146724,5.472804061592701e-5
chr10,93702571,93702572,ENSG00000148690.11,FRA10AC1,262,24,CellTypeSpecific,0.31815786639784843,7.399179448127599e-12
chr10,93893972,93893973,ENSG00000176273.14,SLC35G1,255,2,NonSpecific,0.08127038960128662,0.0012711855749574607
chr10,94030811,94030812,ENSG00000138193.15,PLCE1,268,0,NonSpecific,NA,NA
chr10,94362958,94362959,ENSG00000173145.11,NOC3L,261,3,NonSpecific,0.13493490681941134,2.5093131675987353e-5
chr10,94402503,94402504,ENSG00000108239.8,TBC1D12,256,44,NonSpecific,0.3853352303333229,1.1456814454122497e-14
chr10,94501433,94501434,ENSG00000119969.14,HELLS,233,8,NonSpecific,0.05114569817989736,0.011211885045594134
chr10,95069496,95069497,ENSG00000138115.13,CYP2C8,178,3,NonSpecific,0.12757591742244723,4.3329392569664254e-5
chr10,95194199,95194200,ENSG00000173124.14,ACSM6,178,13,NonSpecific,0.19491821894978584,2.552703873700202e-7
chr10,95694142,95694143,ENSG00000119977.20,TCTN3,209,0,NonSpecific,NA,NA
chr10,95711778,95711779,ENSG00000138185.18,ENTPD1,208,4,CellTypeSpecific,0.13766907848321705,2.046742461131092e-5
chr10,96043393,96043394,ENSG00000107443.15,CCNJ,196,4,CellTypeSpecific,0.021511301247011765,0.10264670455421608
chr10,96129714,96129715,ENSG00000177853.14,ZNF518A,196,27,NonSpecific,0.15778249808004652,4.505616571964194e-6
chr10,96587451,96587452,ENSG00000077147.14,TM9SF3,249,7,NonSpecific,0.11332447227398536,1.2375708271053124e-4
chr10,97185919,97185920,ENSG00000187122.16,SLIT1,285,16,CellTypeSpecific,0.3981959844805708,3.072135675526821e-15
chr10,97292672,97292673,ENSG00000213390.10,ARHGAP19,279,1,NonSpecific,0.030441244222911477,0.05165026152620817
chr10,97426075,97426076,ENSG00000052749.13,RRP12,340,18,CellTypeSpecific,0.07048657708125385,0.002768148176304179
chr10,97426159,97426160,ENSG00000171314.8,PGAM1,340,11,NonSpecific,0.14335964223810027,1.3373638719649037e-5
chr10,97498793,97498794,ENSG00000155229.20,MMS19,371,17,NonSpecific,0.21325441529777298,5.9356303365619045e-8
chr10,97633499,97633500,ENSG00000171160.17,MORN4,343,13,CellTypeSpecific,0.0691009084699743,0.00305919196502012
chr10,97713172,97713173,ENSG00000155254.12,MARVELD1,338,7,NonSpecific,0.1983737977837592,1.943419074023077e-7
chr10,98030827,98030828,ENSG00000095713.13,CRTAC1,346,14,NonSpecific,0.2864574450139316,1.2724199572579674e-10
chr10,98134623,98134624,ENSG00000166024.13,R3HCC1L,337,23,CellTypeSpecific,0.31470000949599586,1.0152065909567635e-11
chr10,98415183,98415184,ENSG00000119943.12,PYROXD2,304,50,NonSpecific,0.2911477652937523,8.416593329702439e-11
chr10,98446946,98446947,ENSG00000107521.18,HPS1,295,23,NonSpecific,0.16296286045752048,3.0376361513939198e-6
chr10,99620608,99620609,ENSG00000155287.10,SLC25A28,278,41,CellTypeSpecific,0.26188154707708483,1.0653776445461937e-9
chr10,99659505,99659506,ENSG00000198018.6,ENTPD7,283,8,CellTypeSpecific,0.2616725967843254,1.0844941328186693e-9
chr10,99782731,99782732,ENSG00000023839.10,ABCC2,289,12,NonSpecific,0.15016333181261596,8.018803131957537e-6
chr10,100009918,100009919,ENSG00000107554.16,DNMBP,310,9,CellTypeSpecific,0.28279266738946607,1.7543274934635646e-10
chr10,100188296,100188297,ENSG00000107566.13,ERLIN1,343,2,CellTypeSpecific,3.282528941526343e-4,0.8410551026280118
chr10,100267679,100267680,ENSG00000095485.16,CWF19L1,352,8,NonSpecific,0.18951560629109482,3.9021209541441937e-7
chr10,100286711,100286712,ENSG00000196072.11,BLOC1S2,359,11,CellTypeSpecific,0.3309189923812271,2.272054205955832e-12
chr10,100347123,100347124,ENSG00000099194.5,SCD,356,9,NonSpecific,0.20015746278984084,1.6875749052971705e-7
chr10,100519863,100519864,ENSG00000075826.16,SEC31B,336,45,NonSpecific,0.2275106128637301,1.8702376587750092e-8
chr10,100912739,100912740,ENSG00000119906.11,SLF2,322,34,CellTypeSpecific,0.27117440848452007,4.80776312342924e-10
chr10,100969904,100969905,ENSG00000095539.15,SEMA4G,309,19,CellTypeSpecific,0.004583331908562233,0.4531525989945232
chr10,100996617,100996618,ENSG00000107816.17,LZTS2,303,24,CellTypeSpecific,0.33343482804024044,1.7956780338044205e-12
chr10,101031233,101031234,ENSG00000107819.13,SFXN3,299,31,CellTypeSpecific,0.40107267846828915,2.280119753350849e-15
chr10,101588269,101588270,ENSG00000166169.16,POLL,225,12,CellTypeSpecific,0.4740789172529624,7.096128419832585e-19
chr10,5666594,5666595,ENSG00000196372.12,ASB13,350,4,NonSpecific,0.15834089784456734,4.318548626522034e-6
chr10,5842131,5842132,ENSG00000057608.16,GDI2,357,7,NonSpecific,0.12778345633117752,4.266882108065659e-5
chr10,5890202,5890203,ENSG00000134452.19,FBXO18,361,0,NonSpecific,NA,NA
chr10,5978186,5978187,ENSG00000134470.20,IL15RA,339,24,CellTypeSpecific,0.30662616365773154,2.112338831367893e-11
chr10,6062324,6062325,ENSG00000134460.15,IL2RA,333,8,CellTypeSpecific,0.26953120418756404,5.537864694918109e-10
chr10,6350315,6350316,ENSG00000212743.2,RP11-563J2.3,316,1,NonSpecific,0.08980216020015855,6.859653829996867e-4
chr10,6779597,6779598,ENSG00000238266.1,LINC00707,288,105,NonSpecific,0.537631901468691,2.4248041335052773e-22
chr10,7703268,7703269,ENSG00000151655.18,ITIH2,202,1,CellTypeSpecific,0.12578024598433313,4.94842049467284e-5
chr10,101780368,101780369,ENSG00000107831.12,FGF8,255,1,NonSpecific,0.05535644329475974,0.008259732546493124
chr10,101843919,101843920,ENSG00000120049.18,KCNIP2,270,1,NonSpecific,0.03256813273711031,0.044012335187034186
chr10,102461394,102461395,ENSG00000138111.14,MFSD13A,249,28,CellTypeSpecific,0.31591451675817234,9.086165137340333e-12
chr10,102644495,102644496,ENSG00000171206.13,TRIM8,258,0,NonSpecific,NA,NA
chr10,102714537,102714538,ENSG00000156398.12,SFXN2,261,6,NonSpecific,0.14298264324083385,1.3756903107950485e-5
chr10,102743969,102743970,ENSG00000166272.16,WBP1L,264,3,CellTypeSpecific,0.11692518198782355,9.502443602324648e-5
chr10,102854222,102854223,ENSG00000166275.15,BORCS7,276,17,NonSpecific,0.1728305378525537,1.425806762141547e-6
chr10,102869515,102869516,ENSG00000214435.7,AS3MT,278,15,CellTypeSpecific,0.47053582388404447,1.0762955135331705e-18
chr10,103193305,103193306,ENSG00000076685.18,NT5C2,276,6,NonSpecific,0.14503959919420692,1.1790173297815125e-5
chr10,103396647,103396648,ENSG00000148843.13,PDCD11,291,45,CellTypeSpecific,0.2333548913339617,1.158491586641612e-8
chr10,103452401,103452402,ENSG00000138172.10,CALHM2,285,34,NonSpecific,0.1243278680997586,5.508922246735458e-5
chr10,104232361,104232362,ENSG00000197748.12,CFAP43,147,1,NonSpecific,0.041054842163593716,0.023441515284457638
chr10,104353763,104353764,ENSG00000120051.14,CFAP58,137,4,NonSpecific,0.1233554246534119,5.918889527443181e-5
chr10,109996367,109996368,ENSG00000148700.14,ADD3,63,3,NonSpecific,0.06404005887104988,0.00440795953115575
chr10,110207604,110207605,ENSG00000119950.20,MXI1,73,2,NonSpecific,0.04990835269007211,0.012267633593431285
chr10,110304950,110304951,ENSG00000119953.12,SMNDC1,73,1,NonSpecific,0.049474741036437536,0.012660972042047252
chr10,110497837,110497838,ENSG00000138166.5,DUSP5,77,1,NonSpecific,0.0757081698108,0.0018992476881888613
chr10,110919546,110919547,ENSG00000108061.11,SHOC2,75,16,NonSpecific,0.039783698187096726,0.025742880769805136
chr10,112446916,112446917,ENSG00000023041.11,ZDHHC6,31,1,NonSpecific,0.008339934276001522,0.31111475376774256
chr10,113679161,113679162,ENSG00000165806.19,CASP7,103,41,NonSpecific,0.3538851832175201,2.5679681737961063e-13
chr10,114174219,114174220,ENSG00000165813.18,CCDC186,138,7,NonSpecific,0.0893137861278307,7.106522913211358e-4
chr10,114821743,114821744,ENSG00000151553.14,FAM160B1,95,3,NonSpecific,0.1218965534441107,6.591227439211241e-5
chr10,114938192,114938193,ENSG00000165832.5,TRUB1,85,12,NonSpecific,0.0862158567850597,8.891992948036941e-4
chr10,115093364,115093365,ENSG00000107518.16,ATRNL1,70,0,NonSpecific,NA,NA
chr10,117375466,117375467,ENSG00000165650.11,PDZD8,120,38,CellTypeSpecific,0.20828018031340906,8.842768297811803e-8
chr10,117542495,117542496,ENSG00000170370.11,EMX2,120,8,CellTypeSpecific,0.11762627021056339,9.025340771479546e-5
chr10,119165666,119165667,ENSG00000183605.16,SFXN4,68,22,CellTypeSpecific,0.3384751439989684,1.1178489887188782e-12
chr10,119726096,119726097,ENSG00000198825.12,INPP5F,76,12,NonSpecific,0.15030390123796655,7.934253493319426e-6
chr10,119892555,119892556,ENSG00000197771.12,MCMBP,119,6,NonSpecific,0.02871384038450245,0.05886781465007972
chr10,120851345,120851346,ENSG00000120008.15,WDR11,124,45,CellTypeSpecific,0.23979863694939163,6.8060152266986346e-9
chr10,121928800,121928801,ENSG00000107669.17,ATE1,243,9,CellTypeSpecific,0.18612908758291397,5.085069750843732e-7
chr10,121989193,121989194,ENSG00000138162.18,TACC2,245,0,NonSpecific,NA,NA
chr10,122271305,122271306,ENSG00000138152.8,BTBD16,273,25,NonSpecific,0.6214367116736861,1.0299877475950388e-27
chr10,122374695,122374696,ENSG00000107679.14,PLEKHA1,276,67,CellTypeSpecific,0.24084867746891372,6.2385366636379145e-9
chr10,122454652,122454653,ENSG00000254636.1,ARMS2,272,1,NonSpecific,0.09438224817747218,4.922196785920605e-4
chr10,122850792,122850793,ENSG00000138161.13,CUZD1,274,0,NonSpecific,NA,NA
chr10,122879640,122879641,ENSG00000213185.6,FAM24B,274,1,NonSpecific,0.03385681106460548,0.03996476392479179
chr10,122954379,122954380,ENSG00000119965.12,C10orf88,272,0,NonSpecific,NA,NA
chr10,123008816,123008817,ENSG00000095574.11,IKZF5,266,18,CellTypeSpecific,0.21425039741923904,5.478829749003773e-8
chr10,124093606,124093607,ENSG00000182022.17,CHST15,96,11,NonSpecific,0.13696193711568858,2.1575886028617672e-5
chr10,124791869,124791870,ENSG00000203791.14,METTL10,77,28,CellTypeSpecific,0.3501924095394131,3.6642754571596015e-13
chr10,125823247,125823248,ENSG00000188690.12,UROS,72,8,CellTypeSpecific,0.018950480271345452,0.1257866949300787
chr10,125896435,125896436,ENSG00000089876.11,DHX32,68,14,NonSpecific,0.13268893247815355,2.9655232783940104e-5
chr10,128126384,128126385,ENSG00000148773.13,MKI67,16,4,CellTypeSpecific,0.11779705237257788,8.912762888644385e-5
chr10,129467183,129467184,ENSG00000170430.9,MGMT,80,17,NonSpecific,0.32959270354381526,2.5712444244445943e-12
chr10,129784982,129784983,ENSG00000283141.1,RP11-109A6.5,80,4,NonSpecific,0.09907050316123714,3.5020009496522476e-4
chr10,130110816,130110817,ENSG00000237489.3,LINC00959,87,4,NonSpecific,0.0953609626136315,4.584813119040038e-4
chr10,131311720,131311721,ENSG00000176769.9,TCERG1L,239,14,NonSpecific,0.29523301207546704,5.859858515397766e-11
chr10,131900643,131900644,ENSG00000175470.18,PPP2R2D,328,8,NonSpecific,0.27417859961934016,3.7098534573356876e-10
chr10,132104670,132104671,ENSG00000188385.11,JAKMIP3,373,10,NonSpecific,0.1504033076262141,7.874995008202518e-6
chr10,132186899,132186900,ENSG00000151640.12,DPYSL4,385,17,NonSpecific,0.5786084120339593,7.773163502011648e-25
chr10,132331846,132331847,ENSG00000165752.16,STK32C,394,3,CellTypeSpecific,0.061741985366398834,0.00520385921207663
chr10,132332153,132332154,ENSG00000148814.17,LRRC27,394,2,NonSpecific,0.19241029464511294,3.10945172670242e-7
chr10,132397167,132397168,ENSG00000171813.13,PWWP2B,405,20,CellTypeSpecific,0.3874441592433005,9.249703429748437e-15
chr10,132518190,132518191,ENSG00000226900.1,RP11-432J24.5,431,0,NonSpecific,NA,NA
chr10,132537819,132537820,ENSG00000068383.18,INPP5A,436,0,NonSpecific,NA,NA
chr10,133160446,133160447,ENSG00000171798.17,KNDC1,326,15,NonSpecific,0.28863415263101166,1.0506738427022495e-10
chr10,133311714,133311715,ENSG00000130640.13,TUBGCP2,277,2,CellTypeSpecific,0.1188835028920617,8.228462829519198e-5
chr10,133358034,133358035,ENSG00000148803.11,FUOM,259,5,CellTypeSpecific,0.08825839777975611,7.670621060588558e-4
chr10,133379233,133379234,ENSG00000148832.15,PAOX,258,7,NonSpecific,0.20647113730594172,1.0216778701499983e-7
chr10,133394093,133394094,ENSG00000148824.18,MTG1,253,17,CellTypeSpecific,0.16703298260118507,2.2254950569668034e-6
chr10,133424571,133424572,ENSG00000203772.7,SPRN,247,7,CellTypeSpecific,0.1004026449949501,3.17868207948235e-4
chr10,133453945,133453946,ENSG00000214279.13,SCART1,238,1,NonSpecific,0.07553060676106177,0.0019237379818130651
chr10,133569834,133569835,ENSG00000171772.15,SYCE1,221,0,NonSpecific,NA,NA
chr10,7787980,7787981,ENSG00000151657.11,KIN,192,19,NonSpecific,0.11356264617332999,1.2161554318871111e-4
chr10,7788128,7788129,ENSG00000165629.19,ATP5C1,192,2,NonSpecific,0.02135168379900834,0.10394480294528267
chr10,11823338,11823339,ENSG00000148426.12,PROSER2,123,18,CellTypeSpecific,0.19720195543514918,2.1319558508958972e-7
chr10,12068971,12068972,ENSG00000181192.11,DHTKD1,143,3,CellTypeSpecific,0.1208216802182858,7.134479643495317e-5
chr10,12129636,12129637,ENSG00000065665.20,SEC61A2,144,23,NonSpecific,0.2875499457661844,1.15590067442726e-10
chr10,12195963,12195964,ENSG00000165609.12,NUDT5,151,2,NonSpecific,0.057226498598581865,0.007213453299940524
